,fieldID,mjdExpStart,mjd,mjdNightStart,mjdNightEnd,mjdExptime,scheduled,racen,deccen,alt,az,airmass,moonRA,moonDec,moonAlt,moonAz,moonSep,moonPhase
0,1,59310.42168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.128118909909,25.26202069196728,44.71165843969918,85.53958819718197,1.4213846632036484,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,52.69747799859217,0.2925770148291392
1,1,59310.43418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.128118909909,25.26202069196728,48.49862774878396,87.7485609818089,1.335220711205062,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,52.74620568108058,0.291385633845917
2,1,59310.44668,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.128118909909,25.26202069196728,52.29142718701278,90.1066492911,1.2640115281249238,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,52.79254881907529,0.2901960245575682
3,1,59310.45918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.128118909909,25.26202069196728,56.0837729294487,92.67838304373082,1.205030825965453,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430875,52.83642265759153,0.2890081933506384
4,1,59310.47168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.128118909909,25.26202069196728,59.867476211008544,95.5580254616217,1.1562476802356876,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812322,52.877760637516566,0.2878221466170632
5,2,59310.42168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.89958469303343,22.78987724280925,43.088351937560375,88.30593103764578,1.4638602480620624,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,50.18375879798592,0.2925770148291392
6,2,59310.43418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.89958469303343,22.78987724280925,46.881676516445125,90.71753626487796,1.3699686235747683,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,50.234075218036594,0.291385633845917
7,2,59310.44668,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.89958469303343,22.78987724280925,50.6727969481814,93.3138085033637,1.2927589656329153,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,50.28198178532124,0.2901960245575682
8,2,59310.45918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.89958469303343,22.78987724280925,54.45331653998672,96.16739045353918,1.2290416097506798,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430875,50.32739426624909,0.2890081933506384
9,2,59310.47168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,292.89958469303343,22.78987724280925,58.21201958951269,99.38202363027052,1.1764661317599772,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812322,50.37024704980996,0.2878221466170632
10,3,59310.40918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,287.48965871791825,18.97637771226308,42.16994156446296,93.47656330487216,1.4895762648504152,315.678207006948,-22.17222121135841,-3.7222995101471725,113.97447199470832,49.51991321145312,0.2937701610744794
11,3,59310.42168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,287.48965871791825,18.97637771226308,45.94982349933144,96.23122472336348,1.3913407774726416,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,49.59139883395585,0.2925770148291392
12,3,59310.43418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,287.48965871791825,18.97637771226308,49.708839832714574,99.23902654395935,1.3110144312805676,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,49.66003290257487,0.291385633845917
13,3,59310.44668,59310.0,59310.08417999999,59310.506712999995,0.0125,False,287.48965871791825,18.97637771226308,53.43385705191283,102.58853384971474,1.2450669599802504,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,49.72573825703586,0.2901960245575682
14,3,59310.45918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,287.48965871791825,18.97637771226308,57.10690930013741,106.4027726361602,1.1909222761385103,316.2719267653894,-22.10163550628857,9.17562730252894,123.75914083430875,49.78845855845293,0.2890081933506384
15,3,59310.47168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,287.48965871791825,18.97637771226308,60.70229343919709,110.85677026075928,1.1466721397191877,316.4086054154224,-22.081762391730685,12.197820000622215,126.51358780812322,49.84815882002178,0.2878221466170632
16,4,59310.40918,59310.0,59310.08417999999,59310.506712999995,0.0125,False,289.6086348015774,25.70159641383616,43.20673494601609,84.04759010802377,1.460637024233025,315.678207006948,-22.17222121135841,-3.7222995101471725,113.97447199470832,54.131858354099315,0.2937701610744794
17,4,59310.42168,59310.0,59310.08417999999,59310.506712999995,0.0125,False,289.6086348015774,25.70159641383616,46.98639824628312,86.16675254795598,1.3676302584797275,315.833943980785,-22.15566453348493,-0.3962580947845376,116.2643461395198,54.18807369786924,0.2925770148291392
18,4,59310.43418,59310.0,59310.08417999999,59310.506712999995,0.0125,False,289.6086348015774,25.70159641383616,50.77561382727842,88.40481965608956,1.2908632194164391,315.98473835099173,-22.13846510382167,2.8680965273304477,118.64908196905712,54.24184238206328,0.291385633845917
19,4,59310.44668,59310.0,59310.08417999999,59310.506712999995,0.0125,False,289.6086348015774,25.70159641383616,54.56898866681805,90.81485716669653,1.2272737429426996,316.13068985644924,-22.120496555506342,6.0620133277570885,121.1425623773874,54.29306966189644,0.2901960245575682
